firma	firmenname_alias_1	Rechtsform	firmenname_alias_2	firmenname_alias_3	firmenname_alias_4	vorname_vorstandsvorsitzender	nachname_vorstandsvorsitzender	vorstand_rest	quelle_vorstand	vorname_aufsichtsratsvorsitzender	nachname_aufsichtsratsvorsitzender	aufsichtsrat_rest	quelle_aufsichtsrat	url
adidas	Adidas AG	AG				Herbert	Hainer	Roland Auschel; Glenn Bennett; Eric Liedtke; Robin J. Stalker	http://www.adidas-group.com/de/unternehmen/vorstand/	Igor	Landau	Sabine Bauer; Willi Schwerdtle; Dieter Hauenstein; Wolfgang Jäger; Stefan Jentzsch; Herbert Kauffmann; Katja Kraus; Kathrin Menges; Roland Nosko; Hans Ruprecht; Heidi Thaler-Veh	http://www.adidas-group.com/de/unternehmen/aufsichtsrat/	http://www.adidas-group.com/de/
Allianz	Allianz SE	SE				Michael	Diekmann	Oliver Bäte; Sergio Balbinot; Manuel Bauer; Helga Jung; Christof Mascher; Jay Ralph; Axel Theis; Dieter Wemmer; Werner Zedelius; Maximilian Zimmerer	https://www.allianz.com/de/ueber_uns/management/vorstand/index.html#	Helmut	Perlet	Wulf H. Bernotat; Rolf Zimmermann; Dante Barban; Christine Bosse; Gabriele Burkhardt-Berg; Jean-Jacques Cette; Ira Gloe-Semler; Franz Heiß; Renate Köcher; Jim Hagemann Snabe; Peter Denis Sutherland	https://www.allianz.com/de/ueber_uns/management/aufsichtsrat/index.html#	https://www.allianz.com/de/index.html
BASF	BASF SE	SE	Badische Anilin- & Soda-Fabrik			Kurt	Bock	Martin Brudermüller; Hans-Ulrich Engel; Sanjeev Gandhi; Michael Heinz; Andreas Kreimeyer; Harald Schwager; Wayne T. Smith; Margret Suckale	https://www.basf.com/de/company/about-us/management/board-of-executive-directors.html	Jürgen	Hambrecht	Michael Diekmann; Robert Oswald; Ralf-Gerd Bastian; Alison J. Carnwath; Wolfgang Daniel; François Diederich; Franz Fehrenbach; Francesco Grioli; Anke Schäferkordt; Denise Schellemans; Michael Vassiliadis	https://www.basf.com/de/company/about-us/management/supervisory-board.html	https://www.basf.com/de.html
Bayer	Bayer AG	AG				Marijn	Dekkers	Werner Baumann; Johannes Dietsch; Michael König; Kemal Malik	http://www.bayer.de/de/Vorstand.aspx	Werner	Wenning	Thomas de Win; Paul Achleitner; Simone Bagel-Trah; Clemens Börsig; André van Broich; Thomas Ebeling; Thomas Fischer; Peter Hausmann; Reiner Hoffmann; Yüksel Karaaslan; Petra Kronen; Helmut Panke; Sue H. Rataj; Petra Reinbold-Knape; Michael Schmidt-Kiessling; Klaus Sturany; Otmar D. Wiestler; Ernst-Ludwig Winnacker; Oliver Zühlke	http://www.bayer.de/de/Mitglieder.aspx	http://www.bayer.de/de/homepage.aspx
Beiersdorf	Beiersdorf AG	AG				Stefan F.	Heidenreich	Ulrich Schmidt; Ralph Gusko; Thomas Ingelfinger; Stefan De Loecker; Zhengrong Liu	http://www.beiersdorf.de/ueber-uns/unser-profil/vorstand	Reinhard	Pöllath	Thomas Holzgreve; Thorsten Irtz; Andreas Albrod; Frank Ganschow; Michael Herz; Matthias Locher; Christine Martel; Tomas Nieber; Isabelle Parize; Manuela Rousseau; Poul Weihrauch	http://www.beiersdorf.de/ueber-uns/unser-profil/aufsichtsrat	http://www.beiersdorf.de/
BMW	BMW AG	AG	Bayerische Motoren Werke Aktiengesellschaft	BMW Group	Bayerische Motoren Werke	Norbert	Reithofer	Friedrich Eichiner; Klaus Fröhlich; Harald Krüger; Klaus Draeger; Ian Robertson; Milagros Caiña Carreiro-Andree; Peter Schwarzenbauer	http://www.bmwgroup.com/d/0_0_www_bmwgroup_com/unternehmen/unternehmensprofil/vorstand/vorstand.html	Joachim	Milberg	Manfred Schoch; Stefan Quandt; Stefan Schmid; Karl-Ludwig Kley; Christiane Benner; Franz M. Haniel; Reinhard F. Hüttl; Henning Kagermann; Susanne Klatten; Renate Köcher; Ulrich Kranz; Robert W. Lane; Horst Lischka; Willibald Löw; Wolfgang Mayrhuber; Dominique Mohabeer; Brigitte Rödig; Jürgen Wechsler; Werner Zierer	http://www.bmwgroup.com/bmwgroup_prod/d/0_0_www_bmwgroup_com/unternehmen/unternehmensprofil/aufsichtsrat/aufsichtsrat.html	http://www.bmwgroup.com/bmwgroup_prod/d/0_0_www_bmwgroup_com/home/home.html
Commerzbank	Commerzbank Aktiengesellschaft	AG				Martin	Blessing	Frank Annuscheit; Markus Beumer; Stephan Engels; Michael Reuther; Stefan Schmittmann; Martin Zielke	https://www.commerzbank.de/de/hauptnavigation/aktionaere/governance_/vorstand/vorstand.html	Klaus-Peter	Müller	Markus Kerber; Barbara Priester; Uwe Tschäge; Alexandra Krieger; Mark Roach; Hans-Hermann Altenschmidt; Oliver Leiberich; Petra Schadeberg-Herrmann; Nikolaus von Bomhard; Stefan Lippe; Margit Schoffer; Gunnar de Buhr; Beate Mensch; Nicholas Teller; Stefan Burghardt; Roger Müller; Karl-Heinz Flöther; Gertrude Tumpel-Gugerell; Helmut Perlet	https://www.commerzbank.de/media/de/konzern_1/konzerninfo/aufsicht/aufsichtsrat_der_commerzbank_ag.pdf	https://www.commerzbank.de/
Continental	Continental AG	AG				Elmar	Degenhart	José A. Avila; Ralf Cramer; Frank Jourdan; Helmut Matschi; Ariane Reinhart; Wolfgang Schäfer; Nikolai Setzer; Heinz-Gerhard Wente	http://www.continental-corporation.com/www/portal_com_de/themen/continental/vors/vorstand/	Wolfgang	Reitzle	Hartmut Meine; Gunter Dunkel; Artur Otto; Hans Fischl; Klaus Rosenfeld; Peter Gutzmer; Georg F. W. Schaeffler; Peter Hausmann; Maria-Elisabeth Schaeffler-Thumann; Michael Iglhaut; Jörg Schönfelder; Klaus Mangold; Kirsten Vörkel; Sabine Neuß; Elke Volkmann; Rolf Nonnenmacher; Erwin Wörle; Dirk Nordmann; Siegfried Wolf	http://www.continental-corporation.com/www/portal_com_de/themen/continental/vors/aufsichtsrat_zusammensetzung_de.html	http://www.continental-corporation.com/www/portal_com_de/
Daimler	Daimler AG	AG				Dieter	Zetsche	Wolfgang Bernhard; Christine Hohmann-Dennhardt; Ola Källenius; Wilfried Porth; Hubertus Troska; Bodo Uebber; Thomas Weber	http://www.daimler.com/dccom/0-5-65183-49-65184-1-0-0-0-0-0-0-7145-0-0-0-0-0-0-0.html	Manfred	Bischoff	Michael Brecht; Paul Achleitner; Sari Baldauf; Michael Bettag; Bernd Bohr; Clemens Börsig; Jürgen Hambrecht; Petraea Heynike; Jörg Hofmann; Andrea Jung; Joe Kaeser; Ergun Lümali ; Sabine Maaßen; Wolfgang Nieke; Bernd Pischetsrieder; Valter Sanches; Jörg Spies; Frank Weber; Elke Tönjes-Werner	http://www.daimler.com/dccom/0-5-65181-49-79600-1-0-0-0-0-0-0-7145-0-0-0-0-0-0-0.html	http://www.daimler.com/de
Deutsche Bank	Deutsche Bank AG	AG				Jürgen	Fitschen	Anshu Jain; Stefan Krause; Stephan Leitner; Stuart Lewis; Rainer Neske; Henry Ritchotte; Christian Sewing	https://www.deutsche-bank.de/ir/de/content/vorstand.htm	Paul	Achleitner	Alfred Herling; Frank Bsirske; John Cryan; Dina Dublon; Katherine Garrett-Cox; Timo Heider; Sabine Irrgang; Henning Kagermann; Martina Klee; Peter Löscher; Henriette Mark; Louise M. Parent; Gabriele Platscher; Bernd Rose; Rudolf Stockem; Stephan Szukalski; Johannes Teyssen; Georg F. Thoma; Klaus Rüdiger Trützschler	https://www.deutsche-bank.de/de/content/company/Aufsichtsrat.htm	https://www.deutsche-bank.de/ir/index_d.htm
Deutsche Börse Group	Deutsche Börse AG	AG	Deutsche Börse			Reto	Francioni	Andreas Preuß; Gregor Pottmeyer; Hauke Stars; Jeffrey Tessler	http://deutsche-boerse.com/dbg/dispatch/de/kir/dbg_nav/investor_relations/15_Corporate_Governance/20_Executive_Board	Joachim	Faber	Gerhard Roggemann; Irmtraud Busch; Richard Berliand; Marion Fornoff; Karl-Heinz Floether; Hans-Peter Gabe; Richard M. Hayden; David Krell; Craig Heimark; Monica Mächler; Friedrich Merz; Thomas Neiße; Heinz-Joachim Neubürger; Erhard Schipporeit; Jutta Stuhlfauth; Martin Ulrici; Johannes Witt	http://deutsche-boerse.com/dbg/dispatch/de/kir/dbg_nav/investor_relations/15_Corporate_Governance/30_Supervisory_Board	http://deutsche-boerse.com/dbg/dispatch/de/kir/dbg_nav/home#
Deutsche Post	Deutsche Post AG	AG				Frank	Appel	Ken Allen; Jürgen Gerdes; Roger A. Crook; John Gilbert; Melanie Kreis; Lawrence A. Rosen	http://www.dpdhl.com/de/investoren/corporate_governance/vorstand.html	Wulf	von Schimmelmann	Werner Gatzer; Henning Kagermann; Thomas Kunz; Simone Menne; Roland Oetker; Ulrich Schröder; Stefan Schulte; Elmar Toime; Katja Windt; Rolf Bauermeister; Andrea Kocsis; Jörg von Dosky; Anke Kufalt; Thomas Koczelnik; Andreas Schädler; Sabine Schielmann; Stephan Teuscher; Helga Thiel; Stefanie Weckesser	http://www.dpdhl.com/de/investoren/corporate_governance/aufsichtsrat.html	http://www.dpdhl.com/de.html
Deutsche Telekom	Deutsche Telekom AG	AG				Timotheus	Höttges	Niek Jan van Damme; Reinhard Clemens; Thomas Kremer; Thomas Dannenfeldt; Claudia Demat	http://www.telekom.com/investor_relations/Unternehmen/vorstand/201258	Ulrich	Lehner	Sari Baldauf; Wulf H. Bernotat; Johannes Geismann; Hubertus von Grünberg; Lars Hinrichs; Dagmar Kollmann; Ulrich Lehner; Ulrich Schröder; Karl-Heinz Streibich; Josef Bednarski; Monika Brandl; Klaus-Dieter Hanas; Sylvia Hauke; Hans-Jürgen Kallmeier; Petra Kreusel; Waltraud Litzenberger; Lothar Schröder; Michael Sommer; Sibylle Spoo	http://www.telekom.com/investor_relations/corporate-governance/aufsichtsrat/26890	http://www.telekom.com/startseite
E.ON	E.ON SE	SE				Johannes	Teyssen	Leonhard Birnbaum; Jørgen Kildahl; Bernhard Reutersberg; Klaus Schäfer; Mike Winkel	http://www.eon.com/de/investoren/corporate-governance/vorstand/mitglieder.html	Werner	Wenning	Denise Kingsmill; Ulrich Lehner; René Obermann; Karen de Segundo; Theo Siegert; Erhard Ott; Clive Broutta; Thies Hansen; Eugen-Gheorghe Luha; Eberhard Schomburg; Fred Schulz	http://www.eon.com/de/investoren/corporate-governance/aufsichtsrat/mitglieder.html	http://www.eon.com/de.html
Fresenius Medical Care	Fresenius Medical Care AG & Co. KGaA	AG & Co. KGaA				Rice	Powell	Michael Brosnan; Roberto Fusté; Olaf Schermeier; Ronald Kuerbitz; Kent Wanzek; Dominik Wehner	http://www.fmc-ag.de/29.htm	Gerd	Krick	Dieter Schenk; Rolf A. Classon; Bernd Fahrholz; William P. Johnston; Walter L. Weisman	http://www.fmc-ag.de/30.htm	http://www.fmc-ag.de/index.htm
