kabinett;name;v1org;v1art;v1position;v1beginn;v1ende;v2org;v2art;v2position;v2beginn;v2ende;v3org;v3art;v3position;v3beginn;v3ende;v4org;v4art;v4position;v4beginn;v4ende;tag1;tag2;tag3
Merkel III;Angela Merkel;Bundeskanzleramt;government;Bundeskanzlerin;"17.12.2013";;Bundesregierung;government;Bundeskanzlerin;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Helge Braun;Bundeskanzleramt;government;Staatsminister;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Monika Grütters;Bundeskanzleramt;government;Parlamentarische Staatssekretärin ;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Aydan Özoğuz;Bundeskanzleramt;government;Staatsministerin;"17.12.2013";;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Frank-Walter Steinmeier;Auswärtiges Amt;government;Bundesminister des Auswärtigen;"17.12.2013";;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Maria Böhmer;Auswärtiges Amt;government;Parlamentarische Staatssekretärin ;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Michael Roth;Auswärtiges Amt;government;Parlamentarischer Staatssekretär ;"17.12.2013";;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Thomas de Maizière;Bundesministerium des Inneren;government;Bundesminister des Inneren;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Günter Krings;Bundesministerium des Inneren;government;Parlamentarischer Staatssekretär ;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Ole Schröder;Bundesministerium des Inneren;government;Parlamentarischer Staatssekretär;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Heiko Maas;Bundesministerium der Justiz;government;Bundesminister der Justiz;"17.12.2013";;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Ulrich Kelber;Bundesministerium der Justiz;government;Parlamentarischer Staatssekretär ;"17.12.2013";;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Christian Lange;Bundesministerium der Justiz;government;Parlamentarischer Staatssekretär;"17.12.2013";;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Wolfgang Schäuble;Bundesministerium der Finanzen;government;Bundesminister der Finanzen;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Steffen Kampeter;Bundesministerium der Finanzen;government;Parlamentarischer Staatssekretär;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
