bundesland;name;v1org;v1art;v1position;v1beginn;v1ende;v2org;v2art;v2position;v2beginn;v2ende;v3org;v3art;v3position;v3beginn;v3ende;tag1;tag2;tag3
Berlin;Michael Müller;Senat von Berlin;government;Regierender Bürgermeister;12/11/14;;;;;;;SPD;Mitglied;;;;Kabinett Müller;Berlin;Landesregierung
Berlin;Frank Henkel;Senat von Berlin;government;Bürgermeister und Senator für Inneres und Sport;12/11/14;;;;;;;CDU;Mitglied;;;;Kabinett Müller;Berlin;Landesregierung
Berlin;Dilek Kolat;Senat von Berlin;government;Bürgermeisterin und Senatorin für Arbeit, Integration und Frauen;12/11/14;;;;;;;SPD;Mitglied;;;;Kabinett Müller;Berlin;Landesregierung
Berlin;Andreas Geisel;Senat von Berlin;government;Senator für Stadtentwicklung und Umwelt;12/11/14;;;;;;;SPD;Mitglied;;;;Kabinett Müller;Berlin;Landesregierung
Berlin;Sandra Scheeres;Senat von Berlin;government;Senatorin für Bildung, Jugend und Wissenschaft;12/11/14;;;;;;;SPD;Mitglied;;;;Kabinett Müller;Berlin;Landesregierung
Berlin;Matthias Kollatz-Ahnen;Senat von Berlin;government;Senator für Finanzen;12/11/14;;;;;;;SPD;Mitglied;;;;Kabinett Müller;Berlin;Landesregierung
Berlin;Mario Czaja;Senat von Berlin;government;Senator für Gesundheit und Soziales;12/11/14;;;;;;;CDU;Mitglied;;;;Kabinett Müller;Berlin;Landesregierung
Berlin;Thomas Heilmann;Senat von Berlin;government;Senator für Justiz und Verbraucherschutz;12/11/14;;;;;;;CDU;Mitglied;;;;Kabinett Müller;Berlin;Landesregierung
Berlin;Cornelia Yzer;Senat von Berlin;government;Senatorin für Wirtschaft, Technologie und Forschung;12/11/14;;;;;;;CDU;Mitglied;;;;Kabinett Müller;Berlin;Landesregierung
Bayern;Horst Seehofer;Bayerische Staatskanzlei;government;Ministerpräsident;10/10/13;;;;;;;CSU;Mitglied;;;;Kabinett Seehofer II;Bayern;Landesregierung
Bayern;Ilse Aigner;Bayerische Staatskanzlei;government;Stellvertretende Ministerpräsidentin;10/10/13;;Bayrisches Staatsministerium für Wirtschaft und Medien, Energie und Technologie;government;Bayrische Staatsministerin für Wirtschaft und Medien, Energie und Technologie;10/10/13;;CSU;Mitglied;;;;Kabinett Seehofer II;Bayern;Landesregierung
Bayern;Christine Haderthauer;Bayerische Staatskanzlei;government;"Leiterin der Staatskanzlei und Staatsministerin für Bundesangelegenheiten und Sonderaufgaben";10/10/13;9/1/14;;;;;;CSU;Mitglied;;;;Kabinett Seehofer II;Bayern;Landesregierung
Bayern;Marcel Huber ;Bayerische Staatskanzlei;government;"Leiter der Staatskanzlei und Staatsminister für Bundesangelegenheiten und Sonderaufgaben";9/5/14;;;;;;;CSU;Mitglied;;;;Kabinett Seehofer II;Bayern;Landesregierung
Bayern;Beate Merk;Bayrisches Staatsministerium für Europaangelegenheiten und regionale Beziehungen in der Staatskanzlei;government;Bayrische Staatsministerin für Europaangelegenheiten und regionale Beziehungen in der Staatskanzlei;10/10/13;;;;;;;CSU;Mitglied;;;;Kabinett Seehofer II;Bayern;Landesregierung
Bayern;Joachim Herrmann;Bayrisches Staatsministerium des Inneren, für Bau und Verkehr;government;Bayrischer Staatsminister des Inneren, für Bau und Verkehr;10/10/13;;;;;;;CSU;Mitglied;;;;Kabinett Seehofer II;Bayern;Landesregierung
Bayern;Gerhard Eck ;Bayrisches Staatsministerium des Inneren, für Bau und Verkehr;government;Staatssekretär;10/10/13;;;;;;;CSU;Mitglied;;;;Kabinett Seehofer II;Bayern;Landesregierung
Bayern;Winfried Bausback;Bayrisches Staatsministerium der Justiz;government;Bayrischer Staatsminister der Justiz;10/10/13;;;;;;;CSU;Mitglied;;;;Kabinett Seehofer II;Bayern;Landesregierung
