name	mitarbeiter	kunden	bestandteil	homepage	quelle	tags
Pardrei - Kommunikation in Politik, Wirtschaft und Gesellschaft	Oliver Neumann		Degepol, Kompetenzzentrum für politische Dialogkommunikation, Institut Inam	http://www.pardrei.de	http://www.pardrei.de	PR- und Lobbyagentur
Bohnen Kallmorgen und Partner	Johannes Bohnen, Jan-Friedrich Kallmorgen, Joachim Bitterlich, Andreas Beckmann, Norbert Baas, Otto Bernhardt, Eberhard Sandschneider, Rüdiger Lentz	ABP Investments, AUMA - Dachverband der deutschen Messen, Auswärtiges Amt, AXA Private Equity, Blumberg Capital, Bridgepoint, Bundeskanzleramt, BMBF - Bundesministerium für Bildung und Forschung, Bundesverband der MusikindustrieDeutsche Annington Immobiliengruppe, ASU - Die Familienunternehmer, Earlybird, Ebay, Fidelity, GSK - Glaxosmithkline, Global Tech Offshore Wind GmbH, Handelskammer Bremen, Hermes Fund Manager, Liberty GlobalNBIM, Paypal, PGGM, Sony, Unicredit / Hypovereinsbank, Union Investment, Universal Music, Verband der Zeitschriftenverleger		http://www.bohnen-kallmorgen.com/	http://www.bohnen-kallmorgen.com/	PR- und Lobbyagentur, Non Toxic Solar Alliance
The Diplomatic Economist	Carl Caspar Jürgens, Stefan Sorin Muresan	Erzet, RM Rudolf Jäger, Deutsche Bundesbank, KHD Humboldt Wedag 		http://www.diplomatic-economist.eu/	http://www.diplomatic-economist.eu/	PR- und Lobbyagentur
ADVICEPARTNERS	Sebastian Frevel, Matthias Spangenberg, Thorsten Hofmann, Julia Thielicke	Initiative Geldkarte e.V., Lekkerland, Paysafecard, Prepaid Forum Deutschland e.V.	GPRA	http://www.advicepartners.de		PR- und Lobbyagentur
CNC - Communications & Network Consulting	Hanns Glatz, Andrea Brost, Christoph Walther, Bernhard Meising, Xander Heijnen, Otto Fricke, Siegmar Mosdorf, Mareike Noll, Knut Engelmann, Harald Kinzler, Ulrich von Rotenhan	BRITA GmbH, Philip Morris, ADAC, 	MSLGroup	http://www.cnc-communications.com	http://www.wuv.de/agenturen/adac_holt_cnc_communications_fuer_krisen_pr	PR- und Lobbyagentur
Dr. Koch Consulting	Hubert Koch	European Alliance for Technical Non-Smoker Protection, FIT Europe, Petrotec AG, Verband Privater Bauherren e.V., asecos GmbH, ADAC, AvD - Automobilclub von Deutschland, BMW, BDÜ - Bundesverband der Dolmetscher und Übersetzer, Continental, DSO - Deutsche Stiftung Organtransplantation, DVR - Deutscher Verkehrssicherheitsrat, EVVC - Europäischer Verband der Veranstaltungs-Centren, GDV - Gesamtverband der Deutschen Versicherungswirtschaft, Harley Davidson, KWS Saat, MvaK - Mittelstandsverband abfallbasierter Kraftstoffe, Solvay AG, Temco, Vogel Auto Medien		http://www.koch-consulting.de	http://www.koch-consulting.de	PR- und Lobbyagentur
EHRENBERG Kommunikation	Magnus Ehrenberg, Tim Kötting, Matthias Mies	Scandlines, Aarhus Havn, Danske Færger, Stena Line		http://www.ehrenberg-kommunikation.com	http://www.ehrenberg-kommunikation.com	PR- und Lobbyagentur, Tourismus, Skandinavien, Lifestyle, Transport
Euro PA	Sören Haar	ECS, Miller-Meier, Brain&more, FVDZ		http://www.euro-public-affairs.com		PR- und Lobbyagentur
Hering Schuppener	Ralf Hering, Bernd Schuppener, Alexander Geiser, Sabine Hahn, Tina Mentner, Horst-H. Müther, Matthias Poth, Janine Döring, Folker Dries, Brigitte von Haacke, Georg Jakobs, Phoebe Kebbel, Felix Schönauer, Bettina Fries, Katrin Häbel, Andrejka Hage, Philipp Halstrick, Sebastian Krämer-Bach, Dirk von Manikowsky, Claudia Orth, Volker Pulskamp, Christopher Storck, Katharina Tolkmitt, Marlies Peine, Martina Bauer, Tatiana Belgorodski, Sylvia Berndt, Björn Härtel, Jan Hiesserich, Sandra Welling-Monteiro, Karin Pechermeyer, Christian Falkowski, Matthis Kaiser, Alex Seiler, Tasso Enzweiler, Christoph Bertram, Björn Binder, Hans Martin Bury, Biancastella de Angelis, Julian Jacobitz, Henriette Peucker, Benjamin Schröter, Marc Theurer	Fontem Ventures, Deutsche Bank, Canadian Solar, Carlyle Group, Duales System Deutschland, EWE, Hella, Honeywell, ista, KKR, Suntech, ThyssenKrupp, Trina Solar, Yingli, EnBW, Vorwerk, Korkverband Portugal, KKR, Wincor Nixdorf, MTU, Demag, ProSiebenSat1, Kion	WPP Group	http://www.heringschuppener.com/en/home	https://lobbypedia.de/wiki/Hering_Schuppener	PR- und Lobbyagentur
LNE Group	Francois-Xavier Chevallerau, Manuel Lianos	Emerson, Ferro, Goodyear, Magnum Hunter, NXP, Parker, RPM, Zimmer, KPMG		http://www.lnegroup.eu/	http://www.lnegroup.eu/	PR- und Lobbyagentur
